property_type,sector,price,areaWithType,bedRoom,bathroom,balcony,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,furnishing_type,luxury_category,floorNum_cat
0.0,36.0,0.82,1031.0,3,2,2.0,1.0,1081.0,1650.0,650.0,0,0,0,1.0,1.0
0.0,95.0,0.95,361.0,2,2,2.0,1.0,1827.75,1650.0,1103.0,1,1,0,1.0,2.0
0.0,103.0,0.32,2.0,2,2,1.0,1.0,1827.75,1000.0,585.0,0,0,0,1.0,0.0
0.0,99.0,1.6,1666.0,3,4,4.0,3.0,1995.0,1615.0,1476.0,0,1,1,0.0,2.0
0.0,5.0,0.48,2215.0,2,2,1.0,3.0,632.0,1650.0,532.0,0,0,0,0.0,2.0
0.0,1.0,7.5,2177.0,4,4,4.0,1.0,5350.0,1650.0,1294.0,0,1,1,1.0,0.0
0.0,11.0,2.0,1855.0,3,3,4.0,3.0,2338.0,1650.0,1294.0,0,1,0,2.0,0.0
0.0,5.0,1.9,1568.0,3,4,3.0,3.0,1889.0,1650.0,1294.0,0,1,0,0.0,2.0
1.0,8.0,1.2,742.0,3,2,1.0,2.0,1827.75,1185.51,1294.0,0,0,0,1.0,1.0
1.0,29.0,4.5,761.0,3,3,2.0,0.0,1827.75,1350.0,1294.0,1,1,0,2.0,1.0
1.0,12.0,1.55,183.0,3,2,0.0,3.0,1827.75,2360.0,1294.0,0,0,0,1.0,1.0
0.0,31.0,1.6,360.0,2,2,2.0,3.0,1827.75,1650.0,1100.0,0,0,0,2.0,1.0
0.0,12.0,2.25,1964.0,3,4,3.0,3.0,2585.0,1650.0,1294.0,0,1,0,2.0,0.0
0.0,67.0,2.77,487.0,4,4,4.0,3.0,1827.75,1650.0,1975.0,1,1,2,0.0,1.0
1.0,18.0,1.2,999.0,2,4,2.0,3.0,1827.75,846.0,1294.0,0,0,1,1.0,1.0
0.0,99.0,1.55,1665.0,3,4,3.0,3.0,1995.0,1650.0,1294.0,0,1,1,2.0,0.0
0.0,91.0,1.09,1342.0,2,2,3.0,3.0,1640.0,1638.0,1635.0,0,0,0,0.0,2.0
0.0,75.0,1.15,1224.0,2,2,3.0,1.0,1450.0,1400.0,1000.0,0,0,0,2.0,2.0
0.0,91.0,1.77,1906.0,3,4,4.0,1.0,2408.0,1650.0,1294.0,0,0,0,2.0,2.0
0.0,33.0,0.85,676.0,2,2,1.0,2.0,1827.75,1650.0,661.0,0,0,1,1.0,1.0
0.0,10.0,0.9,1163.0,2,2,4.0,3.0,1366.0,1650.0,1294.0,0,0,1,1.0,2.0
0.0,32.0,1.2,1219.0,2,2,3.0,4.0,1444.0,1650.0,1294.0,0,0,0,2.0,1.0
0.0,23.0,0.6,2236.0,1,1,1.0,0.0,735.0,1650.0,1294.0,0,0,1,2.0,2.0
1.0,43.0,9.0,892.0,8,5,4.0,2.0,1827.75,3240.0,1294.0,0,1,1,1.0,1.0
1.0,43.0,7.0,856.0,7,7,4.0,0.0,1827.75,2475.0,1294.0,1,1,2,0.0,1.0
0.0,31.0,0.9,383.0,4,2,4.0,2.0,1827.75,1650.0,1244.0,0,0,0,1.0,1.0
1.0,41.0,0.4,930.0,1,1,0.0,0.0,1827.75,450.0,1294.0,0,0,0,1.0,1.0
1.0,12.0,5.65,964.0,4,4,4.0,1.0,1827.75,5400.0,1294.0,0,1,1,1.0,1.0
0.0,64.0,2.15,432.0,2,2,3.0,4.0,1827.75,1650.0,1508.0,0,0,0,2.0,0.0
1.0,49.0,4.4,874.0,6,6,3.0,0.0,1827.75,2880.0,1294.0,1,1,2,2.0,1.0
0.0,86.0,0.64,378.0,2,2,3.0,3.0,1827.75,1650.0,1225.0,0,0,1,2.0,0.0
0.0,67.0,2.86,494.0,3,3,3.0,4.0,1827.75,1650.0,2040.0,0,1,0,1.0,0.0
0.0,68.0,3.5,1811.0,3,3,3.0,0.0,2200.0,2125.0,2000.0,0,1,1,2.0,2.0
1.0,95.0,0.7,41.0,2,2,2.0,3.0,1827.75,1297.0,1294.0,0,0,0,1.0,0.0
0.0,92.0,1.54,1600.0,3,3,4.0,3.0,1929.0,1780.0,1670.0,0,1,0,0.0,0.0
1.0,48.0,8.25,887.0,4,4,4.0,3.0,1827.75,300.0,240.0,0,1,1,0.0,1.0
1.0,12.0,6.1,848.0,5,6,4.0,0.0,1827.75,2430.0,1294.0,0,1,0,1.0,1.0
0.0,52.0,2.1,179.0,4,4,3.0,3.0,1827.75,2300.0,1294.0,0,0,0,2.0,1.0
0.0,37.0,1.25,1420.0,3,3,3.0,3.0,1735.0,1650.0,1400.0,1,0,0,1.0,1.0
0.0,15.0,0.7,684.0,2,2,2.0,3.0,1827.75,1650.0,696.0,0,0,0,2.0,2.0
0.0,69.0,2.8,1721.0,3,3,3.0,0.0,2047.0,1650.0,1880.0,0,1,2,1.0,2.0
1.0,31.0,5.5,806.0,4,3,3.0,2.0,1827.75,1800.0,1294.0,0,0,1,1.0,1.0
0.0,15.0,2.58,1807.0,3,4,2.0,0.0,2200.0,1650.0,1294.0,0,1,0,2.0,2.0
0.0,17.0,3.0,1999.0,3,3,4.0,3.0,2691.0,2460.0,2100.0,0,1,0,0.0,1.0
0.0,63.0,2.1,1284.0,3,2,3.0,4.0,1549.0,1650.0,1500.0,0,0,0,2.0,1.0
0.0,17.0,2.45,1828.0,3,3,3.0,3.0,2225.0,1650.0,1294.0,0,0,0,2.0,2.0
0.0,72.0,1.38,439.0,3,3,1.0,3.0,1827.75,1650.0,1538.0,0,0,0,0.0,0.0
0.0,95.0,1.71,65.0,3,2,0.0,3.0,1827.75,1423.0,1294.0,0,0,0,1.0,1.0
0.0,70.0,1.85,148.0,3,4,3.0,1.0,1827.75,1941.0,1294.0,1,0,1,2.0,2.0
