,property_type,sector,price,bedRoom,bathroom,balcony,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,furnishing_type,luxury_cat,floorNum_cat
0,flat,sector 36,0.82,3,2,2,New Property,1081.0,,650.0,0,0,unfurnished,low,low
1,flat,sector 89,0.95,2,2,2,New Property,,,1103.0,1,1,unfurnished,low,medium
2,flat,sohna road,0.32,2,2,1,New Property,,1000.0,585.0,0,0,unfurnished,low,high
3,flat,sector 92,1.6,3,4,3+,Relatively New,1995.0,1615.0,1476.0,0,1,semi_furnished,high,medium
4,flat,sector 102,0.48,2,2,1,Relatively New,632.0,,532.0,0,0,unfurnished,high,medium
5,flat,gwal pahari,7.5,4,4,3+,New Property,5350.0,,,0,1,semi_furnished,low,high
6,flat,sector 108,2.0,3,3,3+,Relatively New,2338.0,,,0,1,unfurnished,medium,high
7,flat,sector 102,1.9,3,4,3,Relatively New,1889.0,,,0,1,unfurnished,high,medium
8,house,sector 105,1.2,3,2,1,Old Property,,1185.51,,0,0,unfurnished,low,low
9,house,sector 26,4.5,3,3,2,Moderately Old,,1350.0,,1,1,unfurnished,medium,low
10,house,sector 109,1.55,3,2,0,,,2360.0,,0,0,unfurnished,low,low
11,flat,sector 28,1.6,2,2,2,Relatively New,,,1100.0,0,0,unfurnished,medium,low
12,flat,sector 109,2.25,3,4,3,Relatively New,2585.0,,,0,1,unfurnished,medium,high
13,flat,sector 65,2.77,4,4,3+,Relatively New,,,1975.0,1,1,furnished,high,low
14,house,sector 12,1.2,2,4,2,Relatively New,,846.0,,0,0,semi_furnished,low,low
15,flat,sector 92,1.55,3,4,3,Relatively New,1995.0,,,0,1,semi_furnished,medium,high
16,flat,sector 85,1.09,2,2,3,Relatively New,1640.0,1638.0,1635.0,0,0,unfurnished,high,medium
17,flat,sector 70a,1.15,2,2,3,New Property,1450.0,1400.0,1000.0,0,0,unfurnished,medium,medium
18,flat,sector 85,1.77,3,4,3+,New Property,2408.0,,,0,0,unfurnished,medium,medium
19,flat,sector 30,0.85,2,2,1,Old Property,,,661.0,0,0,semi_furnished,low,low
20,flat,sector 107,0.9,2,2,3+,Relatively New,1366.0,,,0,0,semi_furnished,low,medium
21,flat,sector 3,1.2,2,2,3,Under Construction,1444.0,,,0,0,unfurnished,medium,low
22,flat,sector 2,0.6,1,1,1,Moderately Old,735.0,,,0,0,semi_furnished,medium,medium
23,house,sector 41,9.0,8,5,3+,Old Property,,3240.0,,0,1,semi_furnished,low,low
24,house,sector 41,7.0,7,7,3+,Moderately Old,,2475.0,,1,1,furnished,high,low
25,flat,sector 28,0.9,4,2,3+,Old Property,,,1244.0,0,0,unfurnished,low,low
26,house,sector 4,0.4,1,1,0,Moderately Old,,450.0,,0,0,unfurnished,low,low
27,house,sector 109,5.65,4,4,3+,New Property,,5400.0,,0,1,semi_furnished,low,low
28,flat,sector 62,2.15,2,2,3,Under Construction,,,1508.0,0,0,unfurnished,medium,high
29,house,sector 49,4.4,6,6,3,Moderately Old,,2880.0,,1,1,furnished,medium,low
30,flat,sector 81,0.64,2,2,3,Relatively New,,,1225.0,0,0,semi_furnished,medium,high
31,flat,sector 65,2.86,3,3,3,Under Construction,,,2040.0,0,1,unfurnished,low,high
32,flat,sector 66,3.5,3,3,3,Moderately Old,2200.0,2125.0,2000.0,0,1,semi_furnished,medium,medium
33,house,sector 89,0.7,2,2,2,,,1297.0,,0,0,unfurnished,low,high
34,flat,sector 86,1.54,3,3,3+,Relatively New,1929.0,1780.0,1670.0,0,1,unfurnished,high,high
35,house,sector 48,8.25,4,4,3+,Relatively New,,300.0,240.0,0,1,semi_furnished,high,low
36,house,sector 109,6.1,5,6,3+,Moderately Old,,2430.0,,0,1,unfurnished,low,low
37,flat,sector 51,2.1,4,4,3,Relatively New,,2300.0,,0,0,unfurnished,medium,low
38,flat,sector 37,1.25,3,3,3,Relatively New,1735.0,,1400.0,1,0,unfurnished,low,low
39,flat,sector 111,0.7,2,2,2,Relatively New,,,696.0,0,0,unfurnished,medium,medium
40,flat,sector 67,2.8,3,3,3,Moderately Old,2047.0,,1880.0,0,1,furnished,low,medium
41,house,sector 28,5.5,4,3,3,Old Property,,1800.0,,0,0,semi_furnished,low,low
42,flat,sector 111,2.58,3,4,2,Moderately Old,2200.0,,,0,1,unfurnished,medium,medium
43,flat,sector 113,3.0,3,3,3+,Relatively New,2691.0,2460.0,2100.0,0,1,unfurnished,high,low
44,flat,sector 61,2.1,3,2,3,Under Construction,1549.0,,1500.0,0,0,unfurnished,medium,low
45,flat,sector 113,2.45,3,3,3,Relatively New,2225.0,,,0,0,unfurnished,medium,medium
46,flat,sector 69,1.38,3,3,1,Relatively New,,,1538.0,0,0,unfurnished,high,high
47,flat,sector 89,1.71,3,2,0,,,1423.0,,0,0,unfurnished,low,low
48,flat,sector 67a,1.85,3,4,3,New Property,,1941.0,,1,0,semi_furnished,medium,medium
49,flat,sector 37d,0.6,2,2,3,New Property,650.0,,596.12,0,0,unfurnished,low,medium
50,flat,sector 82,0.81,2,2,2,Relatively New,1300.0,,,0,0,semi_furnished,medium,high
51,flat,sector 53,5.6,3,3,3+,Under Construction,2892.0,,,0,0,unfurnished,low,low
52,flat,sector 74,1.5,2,2,3,Relatively New,1400.0,1300.0,1200.0,0,0,unfurnished,high,high
53,flat,sector 37d,1.45,3,3,3,Relatively New,1811.0,,,0,0,unfurnished,medium,medium
54,flat,sector 108,1.65,3,4,3,Moderately Old,2003.0,1771.32,1302.01,1,0,semi_furnished,medium,low
55,flat,sector 52,0.45,1,1,0,Moderately Old,,,461.77131,0,0,semi_furnished,low,low
56,flat,sector 12,0.35,2,2,1,Moderately Old,867.0,737.0,650.0,0,0,unfurnished,low,low
57,house,sector 43,5.75,4,4,2,Under Construction,,260.0,220.0,0,1,furnished,high,medium
58,flat,sector 85,1.12,2,2,3,Relatively New,1741.0,1485.0,1335.0,0,0,unfurnished,low,medium
59,flat,sector 36,0.75,2,2,2,Relatively New,1000.0,,727.0,0,0,unfurnished,low,medium
60,flat,sector 89,0.25,1,1,1,New Property,500.0,430.0,410.0,0,0,unfurnished,medium,medium
61,house,sector 4,0.67,3,2,1,Moderately Old,,783.0,,0,0,unfurnished,low,low
62,flat,sector 2,0.56,1,1,2,Moderately Old,,,651.0,0,0,unfurnished,medium,medium
63,flat,sector 70a,1.75,3,4,3+,Relatively New,,1706.0,1050.0,0,0,furnished,low,high
64,house,sector 14,4.15,5,4,2,Old Property,,2250.0,,0,0,semi_furnished,medium,low
65,flat,sector 67,3.4,3,4,3,Relatively New,2358.0,,,0,1,semi_furnished,high,high
66,flat,sector 89,0.95,2,2,2,New Property,,,1103.0,1,1,unfurnished,low,medium
67,flat,sector 81,2.3,3,3,3+,Relatively New,2103.0,1617.0,1257.0,1,1,furnished,low,high
68,house,sector 25,7.6,2,9,3,Relatively New,,1935.0,,1,0,semi_furnished,medium,medium
69,flat,sector 95,0.32,2,2,1,Relatively New,,,549.174178,0,0,semi_furnished,low,medium
70,flat,sector 102,0.45,1,1,2,,,750.0,,0,0,unfurnished,low,medium
71,house,sector 56,2.99,4,4,2,Moderately Old,,1449.0,,1,1,semi_furnished,low,low
72,flat,sector 109,1.5,3,4,3+,Relatively New,2150.0,1797.0,1670.0,0,1,unfurnished,low,medium
73,house,sector 41,2.65,3,3,3,New Property,,1800.0,1400.0,0,1,semi_furnished,low,medium
74,house,sector 3,1.5,7,2,0,,,1980.0,,0,0,unfurnished,low,low
75,flat,sector 86,1.5,3,3,1,Relatively New,1900.0,,,0,0,unfurnished,low,high
76,flat,sector 48,9.3,4,4,3+,Moderately Old,3931.0,3831.0,3731.0,1,1,semi_furnished,medium,medium
77,flat,sector 83,1.19,2,2,3,Relatively New,1640.0,1630.0,1620.0,0,0,unfurnished,low,medium
78,flat,sector 107,0.5,3,2,2,Relatively New,1050.0,850.0,645.0,0,0,unfurnished,low,medium
79,flat,sector 104,1.4,3,2,2,Under Construction,1389.0,,884.58,0,0,unfurnished,low,medium
80,flat,sector 88a,1.0,2,2,3,Relatively New,,,1450.0,1,0,unfurnished,medium,medium
81,flat,sohna road,1.3,3,3,3+,Relatively New,1751.0,,1290.0,0,0,unfurnished,low,medium
82,flat,sector 85,0.9,3,3,2,Relatively New,1485.0,1402.0,1400.0,0,0,unfurnished,medium,high
83,house,sector 105,0.5,2,2,0,,,100.0,,0,0,unfurnished,low,low
84,flat,sector 83,1.15,3,3,2,Relatively New,1980.0,1350.0,1308.0,1,1,semi_furnished,high,low
85,flat,sector 69,1.36,3,3,2,Relatively New,1578.0,,,0,0,semi_furnished,low,high
86,flat,sector 102,1.4,2,2,3,Relatively New,1368.0,,1200.0,0,0,unfurnished,medium,low
87,house,sector 55,2.8,4,4,0,,,1500.0,,0,0,unfurnished,low,low
88,house,sector 50,10.45,5,7,3+,Moderately Old,,3240.0,,1,1,semi_furnished,high,low
89,flat,sector 84,0.34,2,2,1,Relatively New,,,483.0,0,0,semi_furnished,medium,low
90,flat,sector 84,0.39,2,2,0,,600.0,,500.0,0,0,unfurnished,low,medium
91,house,sector 4,1.1,3,4,1,,,990.0,,0,0,unfurnished,low,low
92,flat,sohna road,0.35,2,2,2,New Property,576.0,,,0,0,unfurnished,low,high
93,flat,sector 91,1.75,4,3,3+,Relatively New,2724.0,,1573.59,1,1,unfurnished,medium,medium
94,flat,sector 49,2.1,3,3,3,Moderately Old,2015.58,1604.25,,0,0,semi_furnished,medium,medium
95,flat,sector 48,3.65,3,3,3+,Relatively New,1870.0,1869.0,,0,0,semi_furnished,high,medium
96,flat,sohna road,0.95,2,2,3+,New Property,1465.0,1175.97,834.96,1,0,unfurnished,medium,low
97,flat,sector 69,1.29,3,3,1,Relatively New,1568.0,,,0,0,semi_furnished,medium,high
98,house,sector 76,0.75,2,2,2,New Property,,745.0,,0,0,unfurnished,low,high
99,flat,sector 82a,1.85,3,3,3+,Relatively New,1799.0,,1538.0,0,0,semi_furnished,low,low
100,flat,sector 78,0.7,2,2,2,,,1224.0,,0,0,unfurnished,low,medium
101,flat,sector 95,0.32,2,2,1,Relatively New,,,549.174178,0,0,semi_furnished,medium,medium
102,flat,manesar,0.85,3,3,2,Moderately Old,,,2300.0,0,0,unfurnished,low,low
103,flat,sector 93,1.25,4,4,3,Relatively New,,2105.0,1700.0,0,0,unfurnished,low,high
104,flat,sector 7,0.54,2,2,1,Relatively New,,,900.0,0,0,unfurnished,medium,low
105,flat,sector 71,0.79,2,2,2,Relatively New,1198.0,,,0,0,unfurnished,low,medium
106,house,sector 25,10.0,5,5,3+,Moderately Old,,9500.0,9000.0,0,1,furnished,low,low
107,flat,sector 56,1.71,3,3,3+,Moderately Old,,2251.0,2250.0,0,1,semi_furnished,medium,medium
108,flat,sector 110,1.4,3,3,3,Relatively New,1615.0,1550.0,1450.0,0,0,semi_furnished,medium,medium
109,flat,sector 67,3.65,3,4,3+,Relatively New,2698.0,2490.0,,0,1,semi_furnished,medium,high
110,flat,sector 107,0.6,3,2,2,,,750.0,650.0,0,0,unfurnished,medium,medium
111,flat,sector 69,1.44,3,3,2,Relatively New,1578.0,,1200.0,0,0,unfurnished,high,low
112,flat,sector 113,2.37,4,4,3+,Under Construction,,2060.0,1600.0,1,0,unfurnished,medium,high
113,flat,sector 104,0.2,1,2,2,New Property,,,301.0,0,0,unfurnished,medium,low
114,flat,sector 33,1.5,2,2,3+,Under Construction,,,1385.0,0,0,unfurnished,medium,low
115,flat,sector 113,1.83,2,2,0,,,1310.0,,0,0,unfurnished,medium,medium
116,house,sector 4,3.2,3,3,2,Old Property,,2250.0,,0,0,unfurnished,low,low
117,flat,sector 88a,0.5,3,2,2,Under Construction,,,597.0,0,0,unfurnished,low,low
118,flat,sector 41,3.4,4,4,3,,,2900.0,,0,0,unfurnished,low,low
119,flat,sector 102,4.55,4,4,3+,Relatively New,4650.0,4630.0,4550.0,0,0,semi_furnished,medium,high
120,flat,sector 49,1.72,3,3,2,Old Property,,,2200.0,0,0,semi_furnished,medium,low
121,flat,sector 61,2.2,3,3,2,Under Construction,,,1600.0,0,0,unfurnished,low,low
